run_name,model_type,num_layers,hidden_size,attention,bidirectional,balanced_accuracy,roc_auc_weighted,mcc,f1_macro,f1_weighted,training_time_min
LSTM_Bi_concat,LSTM,2,128,concat,True,0.8663062973296134,0.9618524923432643,0.7158234767940602,0.854968626475385,0.9526238332032259,21.740000748634337
LSTM_Uni_concat,LSTM,2,128,concat,False,0.8309253354590143,0.9479834197194035,0.6838304899099262,0.8381302942781876,0.947153306774813,18.32304045756658
LSTM_Bi_dot,LSTM,2,128,dot,True,0.8145301913112795,0.9557633953018386,0.6540668706638767,0.8187640765765766,0.9423610522748453,22.08981725772222
LSTM_Uni_dot,LSTM,2,128,dot,False,0.765805599840574,0.9558058591858336,0.6459666216050658,0.7924882914121724,0.9410012521221697,18.19980415503184
LSTM_Bi_NoAtt,LSTM,2,128,None,True,0.8128030755945264,0.9403043973236253,0.620120720602724,0.8142213266913985,0.9365819964039409,20.997892113526664
LSTM_Uni_NoAtt,LSTM,2,128,None,False,0.7592707918161286,0.9479369854962559,0.5635369363352101,0.7713967192716503,0.927413002681337,17.14508467912674
RNN_Uni_concat,RNN,2,128,concat,False,0.6584960807758735,0.9379327361433404,0.5536248182322331,0.6939800058617721,0.9262790390426294,16.29105843702952
RNN_Bi_dot,RNN,2,128,dot,True,0.43302444533014484,0.91827963302135,0.4716481080232574,0.4623861617354484,0.9119650768030583,19.007097125053406
RNN_Bi_NoAtt,RNN,2,128,None,True,0.38070031220937955,0.9128962787389782,0.42280380732987,0.4070637961992215,0.9052093118592821,17.867438042163847
RNN_Bi_concat,RNN,2,128,concat,True,0.4095755280988441,0.9079811488330122,0.42190214056000774,0.43024991885751374,0.906393926166951,18.365146787961326
RNN_Uni_NoAtt,RNN,2,128,None,False,0.32562774013551216,0.9065703506382607,0.404507397387895,0.356459089892468,0.9025954657061652,15.392410322030385
RNN_Uni_dot,RNN,2,128,dot,False,0.25437591337850407,0.890984443661929,0.11263638472280053,0.24718083853491932,0.8677890179865904,16.480054231484733
