run_name,num_layers,hidden_size,num_heads,balanced_accuracy,roc_auc_weighted,mcc,f1_macro,f1_weighted,training_time_min
MH_Bi_LSTM_hs128_l2_h8,2,128,8,0.8536763156970825,0.9634585836033346,0.6429720333175826,0.7135575651495162,0.8999370070078695,67.18715491692225
MH_Bi_LSTM_hs256_l3_h4,3,256,4,0.8593403667684818,0.9560974511240541,0.608360608427328,0.6673549479085545,0.8961255201619013,243.2759457349777
MH_Bi_LSTM_hs256_l2_h4,2,256,4,0.8301647766503997,0.9251457144411673,0.4652898163170876,0.5499758931464751,0.8374365444196452,173.4759188493093
MH_Bi_LSTM_hs128_l1_h8,1,128,8,0.6544449028075227,0.9058509176082082,0.399081174719969,0.4642345100662461,0.8242954220700239,46.856867424647014
